1.747.638;1.628.013;1.601.996;1.696.365;1.693.789;158.467;1.613.405;1.492.607;1.741.082;1.738.837;1.657.096;1.609.352;1.729.354;1.638.626;166.785;1.667.656;1.739.825;1.736.098;1.592.613;1.647.746
1.747.347;1.627.672;1.601.942;1.695.495;1.693.449;1.584.569;1.614.667;1.492.607;1.741.382;1.738.332;1.657.505;1.606.483;1.729.682;1.638.386;1.667.979;1.667.148;1.741.041;1.735.693;1.588.964;1.647.783
1.746.732;1.628.005;1.601.828;1.694.698;1.693.123;1.584.379;1.617.776;1.499.545;1.741.732;1.737.834;1.658.265;1.605.703;1.729.836;1.639.002;1.668.225;1.667.021;1.743.329;1.735.295;1.587.348;1.647.847
1.746.442;1.626.443;1.601.769;1.693.966;1.692.475;1.584.291;1.619.614;150.589;1.742.303;1.737.354;1.658.617;1.604.467;1.729.981;164.483;166.834;1.666.807;1.744.371;1.734.536;1.585.707;1.647.871
1.746.163;1.626.909;1.601.708;1.692.632;169.216;1.584.209;1.621.518;1.508.755;1.742.472;1.736.434;1.658.946;1.601.724;1.730.124;1.658.255;166.846;1.666.786;1.745.296;1.734.173;1.584.191;1.647.881
1.745.896;1.626.235;1.601.578;1.692.072;169.185;1.584.126;1.623.461;1.511.348;1.742.611;1.736.001;165.925;1.600.281;1.730.262;1.678.311;1.668.392;1.667.335;1.746.128;1.733.825;1.582.718;1.647.886
1.745.663;1.628.223;1.601.511;1.691.578;1.691.553;1.584.049;1.627.149;1.513.701;174.272;1.735.585;1.659.519;1.599.446;1.730.514;1.735.213;1.668.451;1.670.482;1.746.907;1.733.491;1.580.349;1.647.886
1.745.443;1.626.897;1.601.439;1.691.127;1.691.262;1.583.894;1.628.685;1.517.674;1.742.797;1.735.178;1.659.968;1.598.091;1.730.626;1.756.109;1.669.018;1.675.279;1.747.605;1.733.168;1.579.489;1.647.876
1.745.018;1.628.789;1.601.366;1.690.359;1.690.984;1.583.822;1.629.743;1.519.337;1.743.177;1.734.782;1.660.137;1.597.331;1.730.731;1.770.103;1.671.985;1.699.786;1.748.777;1.732.538;1.578.676;1.647.867
1.744.807;1.627.831;1.601.288;1.690.022;1.690.446;1.583.753;1.630.653;1.520.857;1.743.325;1.733.994;1.661.044;1.596.098;173.084;1.769.928;1.680.079;1.708.248;174.927;1.732.548;1.578.578;1.647.856
