-4.012.866;-4.007.517;-3.960.672;-4.049.485;-3.921.714;-3.963.668;-4.049.589;-4.041.951;-4.015.451;-3.865.633;-3.938.685;-3.997.254;-3.957.572;-3.850.282;-3.857.308;-3.917.753;-41.313;-4.004.918;-3.847.097;-3.779.065
-401.397;-4.008.244;-3.961.647;-40.477;-3.919.826;-3.963.653;-4.044.723;-4.041.951;-4.014.434;-3.863.249;-3.938.637;-3.995.559;-3.958.085;-3.848.155;-3.854.759;-3.915.538;-4.120.477;-3.998.709;-3.811.993;-3.777.782
-4.013.494;-400.852;-3.959.871;-4.047.887;-3.920.501;-3.962.644;-4.031.308;-4.029.223;-40.129;-3.862.122;-3.938.872;-3.994.108;-3.957.571;-3.843.323;-3.851.396;-3.914.479;-4.098.027;-3.989.678;-379.439;-3.777.238
-4.015.057;-4.008.624;-3.959.433;-4.045.877;-3.918.242;-3.962.744;-4.026.932;-4.016.338;-4.011.043;-3.859.542;-3.939.122;-3.992.424;-3.956.545;-3.841.369;-3.849.198;-391.104;-408.592;-3.979.899;-3.778.982;-3.776.058
-4.013.018;-4.008.669;-3.959.429;-4.042.892;-3.917.517;-3.961.662;-4.017.835;-4.011.144;-4.010.892;-3.857.141;-3.938.493;-3.990.732;-3.956.492;-3.848.937;-3.847.715;-390.889;-4.073.369;-3.973.885;-3.766.941;-3.775.771
-4.013.094;-4.008.189;-3.963.562;-4.043.164;-3.917.996;-3.960.494;-4.010.499;-4.008.552;-400.986;-3.854.151;-3.936.882;-3.988.874;-3.956.423;-3.864.531;-3.846.062;-3.909.302;-4.060.974;-3.969.535;-3.753.165;-377.539
-4.012.877;-4.008.658;-3.959.107;-4.042.013;-391.774;-3.960.115;-3.997.229;-4.003.722;-4.007.786;-3.852.694;-3.936.577;-3.987.734;-3.954.056;-3.945.637;-3.842.967;-3.909.896;-4.049.732;-3.964.758;-3.729.846;-3.774.828
-4.013.176;-4.008.566;-3.958.572;-4.040.351;-3.916.028;-3.960.011;-3.991.091;-3.996.791;-4.008.274;-3.850.251;-3.932.896;-3.987.508;-3.953.646;-4.015.156;-383.893;-3.911.202;-4.037.313;-3.960.194;-3.722.403;-3.772.916
-4.010.495;-4.008.332;-395.911;-40.374;-3.915.614;-3.958.888;-3.983.771;-3.993.908;-400.384;-3.847.678;-39.298;-3.984.555;-3.953.479;-4.094.963;-3.839.352;-3.965.384;-4.010.451;-3.954.065;-3.714.056;-3.773.651
-400.971;-4.008.272;-3.957.545;-4.037.404;-3.913.931;-3.959.846;-3.978.661;-3.988.117;-3.997.369;-3.845.373;-3.925.616;-3.982.313;-3.952.887;-4.182.768;-3.848.006;-4.031.677;-3.997.184;-3.948.664;-3.707.715;-3.774.116
-4.008.931;-4.008.199;-3.956.574;-4.035.476;-391.344;-3.959.559;-3.975.448;-3.987.352;-3.985.256;-3.843.018;-3.927.105;-3.980.162;-3.951.058;-4.271.695;-3.860.726;-4.096.956;-3.983.775;-394.414;-3.705.708;-3.773.271
-400.931;-4.007.805;-3.955.834;-4.035.152;-3.913.425;-3.958.432;-396.782;-3.977.916;-3.974.877;-3.837.795;-3.967.809;-3.978.185;-3.949.258;-4.464.404;-3.938.124;-4.164.704;-3.969.021;-3.937.654;-371.067;-3.774.518
